Prediction,Price
16373.62281,15985
9309.621778,9988
11814.40232,10698
11688.01043,8921
16231.28256,16515
19519.40998,22470
31348.71766,34184
11166.35562,9279
5308.795998,6575
6114.453709,7898
9989.037142,12945
8389.735658,7463
6259.666699,8358
9866.852828,7788
11150.88504,8949
10831.65175,10245
47020.21812,36000
14571.094,18344
31950.83749,35550
18408.06586,13860
32225.47813,32250
19109.45964,16900
19109.45964,17950
13281.97528,16925
5691.087051,6295
7323.038998,6529
5784.562208,7999
5093.537703,5195
6253.765128,6795
6090.112796,6377
5131.756664,5572
5079.931362,5572
6798.664728,6649
18540.65095,17710
6949.292841,7053
11513.28863,9995
10042.26998,9495
14461.33988,9989
14159.37053,17669
7089.336275,6189
7003.173778,6669
15210.38823,17450
28626.36743,32528
14429.51971,11850
20776.48453,15040
17986.87587,18150
9512.884865,8499
22808.4162,17199
22776.43688,16558
